관광지명,위도,경도
옹기테마공원,37.61265372,127.0885194
중랑캠핑숲,37.60495511,127.1099608
망우리공원,37.59835362,127.1148164
용마폭포공원,37.57335201,127.0891138
추암,37.477063,129.159196
창녕 남지 개비리,35.3945598,128.4405466
낙동강 유채단지,35.384718,128.4715696
부곡온천관광특구,35.4361725,128.5916371
화왕산,35.54419647,128.5344873
창녕 우포늪,35.54456088,128.4191195
김포평화누리길 3코스,37.70077831,126.6622045
김포평화누리길 2코스,37.73869766,126.5484911
김포평화누리길 1코스,37.6535376,126.5533799
강감찬전시관,37.47197208,126.959371
미당서정주의 집,37.4734032,126.973367
불갑사관광지,35.199675,126.550047
헌인릉,37.46537744,127.0837156
국립국악원,37.47835156,127.0090736
예술의전당,37.4802402,127.0142152
초당관광지,37.37650408,129.2047561
장호관광지,37.2868038,129.3079336
맹방관광지,37.39591618,129.2207941
백암온천 관광지,36.72132775,129.343467
성류굴 관광지,36.95884825,129.3794409
감귤박물관,33.27159304,126.6074285
용머리해안,33.23342738,126.3136956
산방산,33.23697818,126.312306
천제연폭포,33.2526783,126.4183754
주상절리대,33.23799399,126.4260174
정방폭포,33.24474912,126.5730486
천지연폭포,33.2447447,126.5595511
성옥기념관,34.78698576,126.3798645
"목포근대역사관 2관 (구,동양척식주식회사)",34.78596374,126.3814912
"목포근대역사관 1관 (구, 일본영사관)",34.78769578,126.3817942
인천도시역사관,37.39281227,126.6358879
인천상륙작전기념관,37.42070925,126.6531798
인천가스과학관,37.34875022,126.6077146
창녕 영산 만년교,35.45282939,128.5283272
산토끼노래동산,35.57772326,128.3835799595
오동도,34.7443435,127.764121
미사경정공원,37.5536259053,127.2132295877
이성산성,37.52530687,127.1847777
광주향교,37.52207622,127.1984175
유니온파크,37.54654783,127.2205032
해미읍성,36.71356,126.55038
용현자연휴양림,36.75188,126.60764
서산버드랜드,36.63124,126.37809
서산류방택천문기상과학관,36.72736,126.41315
여수이순신대교,34.8892365327,127.7049289912
예술랜드리조트,34.69510702,127.7769452
여수해양공원,34.73676698,127.7484079
여수세계박람회장,34.75218956,127.7465005
여수해상케이블카,34.7402223,127.7529197
향일암,34.59379448,127.8029861
진남관,34.7413383,127.7365704
회산백련지,34.86008886,126.5298981
임진각관광지,37.88953876,126.7401859
공릉관광지,37.74984994,126.8335561
한국민속촌,37.25913189,127.1225431
에버랜드,37.2940667,127.202128
실안관광지,34.94398447,128.0399764
가천박물관,37.41847997,126.6576026
박두진문학관,37.03497856,127.3108743
안성3.1운동기념관,37.06278592,127.1752942
안성맞춤박물관,37.011318,127.228354
안성맞춤공예문화센터,37.03497838,127.3108743
안성맞춤천문과학관,37.03291074,127.3125372
안성시사계절썰매장,37.0312917,127.3114616
안성맞춤캠핑장,37.03129806,127.3091429
안성맞춤랜드,37.0328236,127.3078038
안성남사당공연장,37.03181804,127.310053
장사해수욕장관광지,36.2824187,129.3755938
고래불관광지,36.57151713,129.4190153
방화동가족휴가촌,35.59064179,127.5268761
대둔산도립공원,36.11708032,127.3328815
장도포대지,37.39790186,126.7382687
소래철교,37.3988308,126.7403795
소래습지생태공원,37.40736572,126.7463366
소래포구,37.3988308,126.7403795
라비에벨,37.741217,127.7578198
신영,37.747692,127.7252549
춘천호반(하중도),37.88224246,127.6963924
청평사(춘천),37.986071,127.808407
서산동 시화골목,34.78174519,126.3773176
유달산,34.79142993,126.3759183
구 동본원사 목포별원,34.78970032,126.3842863
농월정,35.62464301,127.7815571
롯데월드 부산,35.19603043,129.2129711
함평엑스포공원,35.05813923,126.5226056
운주사,34.92906333,126.8825635
도곡온천,35.02470562,126.903529
화순온천,35.1624699,127.0837781
후곡약수터,38.167554,128.057021
양구자연생태공원,38.189801,128.079108
국토정중앙천문대,38.068791,128.029681
제4땅굴,38.319461,128.110627
을지전망대,38.328304,128.126482
한반도섬,38.130774,127.982758
두타연,38.246709,127.982055
선바위관광지,36.60854407,129.0820141
장계관광지,36.37753534,127.6350074
가조수협효시공원,34.929516,128.525144
노을이물드는언덕,34.95450963,128.5194543
알로에테마파크,34.835716,128.560282
신라불교초전지,36.2909091829,128.3633378140
함평양서파충류생태공원,35.13834076,126.4937003
함평자연생태공원,35.13500123,126.5056999542
함평해수찜,35.10050068,126.4648643
국립칠곡숲체원,36.063539,128.466183
가산수피아,36.086109,128.485044
칠곡양떼목장,35.984545,128.488740
칠곡호국평화기념관,36.017918,128.404032
칠곡보오토캠핑장,36.020591,128.394566
송정자연휴양림,36.023332,128.441641
다부동전적기념관,36.046443,128.518875
구상문학관,35.983943,128.394568
가산산성야영장,36.016197,128.618108
가산산성,36.021011,128.590851
태조산관광지,36.82207666,127.1889559
천안종합휴양관광지,36.75731215,127.2240961
아쿠아리움,36.31005741,127.4209439
뿌리공원,36.28538043,127.3883000376
오-월드,36.28749924,127.3985039
가조온천,35.69875771,128.0231044
명승 거창 수승대,35.760923,127.8336763
해조류센터,34.320789,126.748793
신지명사십리해수욕장,34.327329,126.8088597
산청금서관광지,35.394237,127.847052
산청중산관광지,35.293297,127.7549317
삼도수군통제영,34.84715495,128.423489
통영시립박물관,34.84075153,128.4167887
장사도해상공원,34.71373747,128.5588706
해저터널,34.83609021,128.411698
박경리기념관,34.802301,128.4035792
김영삼전대통령생가기록전시관,34.931413,128.715439
물빛나루쉼터(김시민호),35.18657405,128.0788814
진주 K-기업가정신센터,35.23484495,128.2705103
월아산 숲속의 진주,35.199915,128.1941257
경상남도 수목원,35.15719862,128.2957346
진양호,35.17660992,128.0362677
진주성,35.19043229,128.0802214
백련사,34.58775658,126.747892
고려청자박물관,34.50866203,126.8008374
다산초당,34.5807211,126.7449445
영랑생가,34.64209922,126.7655711
가우도,34.53639111,126.7910468
쉬자파크,37.51122354,127.5331978
세미원,37.54093866,127.3239608
두물머리,37.53362262,127.3174715
용문산 관광지,37.54529617,127.583066
백운계곡,38.072165,127.409889
산정호수,38.065669,127.315722
삼학도크루즈,34.78101571,126.387931
목포해상케이블카,34.79940179,126.3700239
춤추는 바다분수,34.79666213,126.4337909
연희네슈퍼(영화 1987 촬영지),34.78174519,126.3773176
용대관광지,38.18568475,128.3061965
도림사,35.26727743,127.2575047
고씨굴 관광지,37.13117779,128.5352623
옛 용산공설시장(현 남영아케이드),37.543723,126.972924
옛 남영동 대공분실(현 민주화운동기념관),37.54101166,126.9716345
찬바람재,37.534815,126.987014
일제 경성호국신사 계단(108계단),37.546023,126.982542
서울 해병대사령부 초대교회,37.54303445,126.982882
후암동 조선은행 사택지,37.547716,126.9786783
서울 한양도성(서울성곽),37.551483,126.9853756
아리랑마을관광지,34.38201529,126.2310334
회동관광지,34.42726548,126.3513474
녹진관광지,34.56907794,126.300024
에듀팜특구관광단지(벨포레리조트),36.84514868,127.5821182
증평인삼문화센터,36.79588146,127.5817602
보강천 미루나무숲,36.78834006,127.5810146
증평민속체험박물관,36.7638886,127.5955694
서울 구 용산철도병원 본관(현 용산역사박물관),37.52557465,126.9656016
연복사탑중창비,37.5297718,126.9647415
남이장군 사당,37.536475,126.958433
이봉창 의사 역사울림관,37.54010272,126.960852
백범김구기념관,37.54427794,126.959253
이봉창 의사 집터,37.540313,126.959653
3.1운동 용산인쇄소 노동자 만세시위지,37.53543893,126.9584156
보석사   은행나무,36.054757,127.4753969
보석사,36.054757,127.4753969
태조대왕태실,36.19976177,127.4543633
개삼터,36.07533917,127.4783939
태고사,36.13440357,127.3251004
칠백의총,36.12942797,127.492435
문동휴양지,34.85648266,128.6628354
법기수원지,35.34825271,129.1079758
대운산자연휴양림,35.41784975,129.2088996
내원사계곡(내원사),35.44578536,129.1104508
진주대첩역사공원,35.190252764,128.0838567554
진주실크박물관,35.159879128,128.164800
진주남강유등전시관,35.1818005936,128.0772058
진주청동기문화박물관,35.22437983,127.9619637
진주익룡발자국전시관,35.1686382,128.1396863
진주시립이성자미술관,35.17580996,128.1427403
진주목공예전수관,35.24702277,128.0417914
일호광장진주역,35.17816441,128.0893466
용산신학교,37.53420937,126.9545934
옛 풍국제과 공장(현 오리온),37.53567207,126.9695135
당고개 순교성지,37.53559012,126.966963
전쟁기념관,37.53731405,126.9784661
순천만국가정원,34.92888588,127.4999591
인천도호부청사,37.4393787,126.6868134
슬로시티삼지내마을,35.23522516,127.0178498
한국가사문학관,35.18796216,127.0054858
한국대나무박물관,35.30934367,126.9764088
소쇄원,35.18433903,127.0121793
메타세쿼이아랜드,35.32342607,127.001993
죽녹원,35.32535666,126.9866155
도장포어촌체험마을,34.743449,128.662475
다대어촌체험마을,34.73449995,128.630513
계도어촌체험마을,34.974872,128.517512
거제자연휴양림,34.785699,128.625943
거제요트학교,34.833694,128.701885
거제시농업개발원,34.856464,128.579187
거제박물관,34.894071,128.686203
맹종죽테마공원,34.967708,128.650512
치산관광지,36.04693281,128.712821
황산공원,35.30173083,128.9895949
홍룡폭포(홍룡사),35.39699967,129.0864895
통도환타지아,35.4999924,129.0831299
통도사,35.47540912,129.0563672
임경대,35.32243455,128.9778074
에덴밸리,35.42905699,128.9844664
양산타워,35.32591877,129.0239276
양산시립박물관,35.35849531,129.0490358
산천동 부군당,37.535662,126.9531703
청암동 부군당,37.534803,126.946373
심원정 왜명강화지처비,37.53342496,126.951860
구 용산 수위관측소,37.533956,126.947132
서울 원효로 예수성심당,37.53420937,126.9545934
인천나비공원,37.52026697,126.6927245
부평안전체험관,37.51098789,126.7333177
부평역사박물관,37.51214216,126.7379081
기후변화체험관,37.50932668,126.7307645
부평아트센터,37.4822383,126.7049334
만리포 관광지,36.79000781,126.1465709
동학농민혁명기념공원,36.51567136,127.7591951
속리산 법주사,36.53993659,127.8306346
보은 우당고택,36.46857583,127.7906134
보은 삼년산성,36.48993999,127.7417752
공곶이,34.79451496,128.713906
외도,34.76947226,128.7113921
거제해금강,34.73266258,128.683858
포로수용소유적공원,34.87637998,128.625371
칠천량해전공원,34.977629,128.628247
지심도,34.81531906,128.6750514
조선해양문화관,34.833694,128.701885
옥포대첩기념공원,34.902196,128.714059
오션어드벤처,34.843791,128.702943
씨라인,34.91111602,128.7102346
쌍근어촌체험마을,34.762399,128.589438
용산재,35.13103091,127.3210133
천태암,35.09395689,127.2764599
관음사,35.21469614,127.1653199
성륜사,35.29704978,127.1208706
삼척해수욕장,37.47034344,129.1647024
황령산관광지,35.155156,129.102558
자인계정숲,35.81784608,128.8189958
삼성현역사문화공원,35.80168834,128.7966117
동의한방촌,35.79937497,128.800141
경산상대온천,35.78037855,128.7922287
고석정,38.18542141,127.2874037
간현관광지,37.36457641,127.834038
완주전통문화체험장,35.98879491,127.261342
대한민국술테마박물관,35.726048,127.1361627
그림책미술관,35.90832046,127.068059
삼례책마을,35.90745719,127.065756
삼례문화예술촌,35.90623513,127.0658535
비비정예술열차,35.89880244,127.0676418
순천용오름마을,35.0921171,127.2020571
순천시청소년수련원,35.04652524,127.4733227
그림책도서관,34.9579091,127.4860252
부영컨트리클럽,34.94005246,127.5555065
순천컨트리클럽,34.86653556,127.4059214
레이크힐스골프장,35.0453779,127.3092617
파인힐스골프장,35.03454985,127.2723022
승주골프장,34.89477542,127.4482083
기독교역사박물관,34.96043473,127.4801207
순천자연휴양림,35.04388083,127.4744949
에코촌유스호스텔,34.92310938,127.5164423
선암사,34.99618213,127.327356
송광사,35.00236255,127.2748706
뿌리깊은나무박물관,34.9036464,127.3399827
드라마촬영장,34.95810919,127.5378026
낙안읍성,34.90640107,127.3418227
순천만습지,34.88579701,127.5092833
남산&N서울타워,37.55112257,126.9878678
새남터 순교성지,37.52512658,126.9570717
보광동 무후묘,37.527058,126.9973443
김유신 장군 사당,37.523941,127.000688
용산기지 옛 미군장교숙소(현 용산공원),37.52300977,126.989165
동빙고 부군당,37.52214299,126.996145
용연동굴,37.20888277,128.9418601
구문소 관광지,37.09296812,129.0422636
갓바위,34.79372717,126.4210674
목포자연사박물관,34.79372717,126.4210674
김대중노벨평화상기념관,34.78285177,126.3922506
송호관광지,36.12969079,127.676367
레인보우힐링관광지,36.15635341,127.7865137
화암사,36.06629938,127.2872339
위봉사&위봉폭포&위봉산성,35.9105769,127.2572831
송광사&벚꽃길,35.885763,127.2417509
무궁화오토캠핑장,35.97398132,127.2315513
오성한옥마을,35.90695186,127.2367573
놀토피아,35.98879491,127.261342
청소년전통문화체험관,35.98879491,127.261342
서동요역사관광지,36.14594895,126.8248464
구드래관광지,36.28718846,126.9068136
호미곶관광단지,36.07608308,129.5665319
한국차문화공원,34.71987643,127.0817099
율포해수욕장,34.67002926,127.0890241
소요산관광지,37.94652177,127.0693409
노들섬,37.51766383,126.9580365
절물자연휴양림,33.44004881,126.6252034
김녕관광지,33.5548971,126.7654535215
곽지관광지,33.4499564,126.3041171
협재관광지,33.3934958502,126.2385968886
통일전망대,38.51438609,128.416703
소노벨비발디파크,37.65233706,127.6873348
팔봉산관광지,37.703098,127.695183
제주별빛누리공원,33.4445529,126.5491863
노루생태관찰원,33.4443253,126.6266934
봉두산,35.13195828,127.3863807
동악산,35.26726372,127.2575047
화진포해양박물관,38.481345,128.435682
화진포역사안보전시관,38.47250515,128.4430602
완도타워,34.31443839,126.763267
태백고생대자연사박물관,37.0948994,129.0396319
석탄박물관,37.1185773888,128.9505662
철암탄광역사촌,37.11436554,129.0372165
유현문화관광지,37.52903211,127.8186829
어답산관광지,37.59380861,128.0575207
송지호 관망타워,38.33623615,128.5175989
화진포 생태박물관,38.47218738,128.4436214
시사교육박물관 김갑진 갤러리,35.11000012,127.262542
섬진강문화학교 독도사진전시관,35.14820762,127.3603367
조태일시문학기념관,35.13351552,127.3685909
통명산,35.20404024,127.2592454
설산,35.29950593,127.1025224
부석사관광지,36.99435088,128.6797054
한국가구박물관,37.60037831,126.9934492
길상사,37.59910942,126.9946522
심우장,37.5936268,126.9916662
대광해수욕장,35.10291276,126.0725117
백제문화관광단지,36.30386704,126.9007732
비비정,35.90154901,127.071693
대아수목원&대아호,35.97623865,127.3003851
상관 공기마을 편백숲,35.737491,127.2023884
고산자연휴양림,35.96224205,127.2328719
모악산도립공원,35.72946608,127.1098589
보길윤선도원림,34.16247899,126.5559442
슬로시티청산도,34.1717924248,126.8621742186
어촌민속전시관,34.307331,126.688559
청해포구촬영장,34.32293555,126.6705189
완도수목원,34.36065258,126.6635321
해양생태전시관,34.351532,126.731489
장보고기념관,34.355097,126.730164
장도청해진유적지,34.3601250565,126.7369503241
감천문화마을,35.09748533,129.01060359
을숙도 철새공원,35.09903966,128.94364550
을숙도 생태공원,35.11604341,128.94861721
낙동강하구아미산전망대,35.05265992,128.96069407
다대포해수욕장,35.04661416,128.96800515
다대포 꿈의 낙조분수,35.04661416,128.96800515
몰운대,35.03931428,128.96893979
간월도관광지,36.60625,126.41775
중대물빛공원,37.40272258,127.218054
팔당물안개공원,37.50956344,127.3174613
경안천습지생태공원,37.45920014,127.3051169
경기도자박물관,37.35028421,127.3347877
천진암,37.42357313,127.3883989
분원백자자료관,37.49625742,127.3034492
남한산성,37.47669636,127.1884165
간절곶 공원,35.3625312,129.3591079
대운산 내원암 계곡,35.39913422,129.2309807
작괘천,35.55162452,129.0953395
휘닉스파크관광단지,37.5758724566,128.3160325007
알펜시아관광단지,37.65925417,128.6840107
용평관광단지,37.65094444,128.7055569
마하생태관광지,37.29236873,128.5412837
평창돌문화체험관,37.376584,128.409516
이효석문화예술촌,37.61317426,128.3701239
백룡동굴,37.27786356,128.577051
무이예술관,37.61527594,128.348787
안동문화관광지,36.5695076,128.7786154
하회관광지,36.5489594,128.5274931
탑산약수온천,36.30396195,128.5892642
나들라온,37.64063549,126.7560031
행주산성,37.59610775,126.8287118
고양관광정보센터,37.65948674,126.7726989
보문관광단지,35.843673,129.2869659
장흥관광지,37.73281632,126.9492504
아산온천관광지,36.69884759,126.9666069
사라온 이야기 마을,36.236155,128.567733
김수환 추기경 사랑과 나눔 공원,36.232449,128.599613
팔공산 하늘정원,36.023813,128.696761
웰리힐리파크 관광단지,37.49012611,128.2501389
한강 나루터,37.530347,127.007028
유관순 열사 추모비,37.53587802,126.9897044
이태원 부군당,37.53587802,126.9897044
천주교 순교성지 새남터 성당,37.52512658,126.9570717
새남터,37.52587942,126.956708
옛 간조 경성지점 사옥,37.53059231,126.970508
왜고개 순교성지,37.52990239,126.9719253
통영루지,34.82440908,128.4241617
무극전적국민관광지,36.95063812,127.6470132
낙안민속자연휴양림,34.91226789,127.3523884
거차뻘배체험마을,34.8375993,127.4474457
순천생태마을,35.06648711,127.3602718
순천향매실마을,35.0622232,127.4045173
충온온천,37.10173095,127.7962316
능암온천,37.09370046,127.802172
충주호체험,37.02308256,127.8619229
탄금공원,36.98782919,127.9055691
당항포관광지,35.05322615,128.3920276
웅포관광지,36.06581391,126.8754193
담양호국민관광지,35.4019831,126.9990829
섬진강 레일바이크,35.23015492,127.3682034
곡성기차마을 패러글라이딩체험,35.26672854,127.3087391
곡성기차마을전통시장,35.27976851,127.2984461
곡성청소년야영장,35.22777786,127.369723
심청한옥마을,35.23063008,127.3575205
심청골짝나라학교,35.17183675,127.2580116
심청효문화센터,35.20836622,127.1288481
곡성생태체험관,35.31719414,127.1699834
아산조방원미술관,35.29706668,127.1224042303